Kudos Date,Kudos Type,Parent ID
"30 Jun 2016, 06:30:39",Activity,625304392
"30 Jun 2016, 06:30:41",Activity,625094376
"3 Jul 2016, 00:38:51",Activity,627779814
"5 Jul 2016, 05:02:07",Activity,630440876
"5 Jul 2016, 05:02:12",Activity,630434332
"5 Jul 2016, 05:02:18",Activity,630441882
"7 Jul 2016, 05:45:43",Activity,632583056
"7 Jul 2016, 05:46:28",Activity,631590549
"7 Jul 2016, 05:46:44",Activity,631590556
"7 Jul 2016, 19:28:05",Activity,633365097
"8 Jul 2016, 06:23:55",Activity,633806824
"8 Jul 2016, 18:11:06",Activity,634341064
"13 Jul 2016, 06:42:51",Activity,639186430
"13 Jul 2016, 17:25:19",Activity,639434076
"14 Jul 2016, 13:05:02",Activity,640191877
"18 Jul 2016, 09:25:37",Activity,643652312
"20 Jul 2016, 08:48:22",Activity,646606879
"20 Jul 2016, 12:42:51",Activity,646659806
"20 Jul 2016, 20:04:35",Activity,647650626
"22 Jul 2016, 14:08:51",Activity,648657298
"23 Jul 2016, 08:41:03",Activity,650277740
"24 Jul 2016, 21:37:02",Activity,652349741
"24 Jul 2016, 21:37:04",Activity,652344897
"24 Jul 2016, 21:37:06",Activity,652353576
"24 Jul 2016, 21:37:15",Activity,651188732
"24 Jul 2016, 21:37:17",Activity,651204357
"24 Jul 2016, 21:37:21",Activity,650827146
"25 Jul 2016, 14:51:02",Activity,653004178
"27 Jul 2016, 17:34:37",Activity,655443982
"28 Jul 2016, 12:44:23",Activity,656291910
"30 Jul 2016, 09:19:59",Activity,657944663
"30 Jul 2016, 09:20:01",Activity,657982964
"30 Jul 2016, 09:20:06",Activity,657747606
"30 Jul 2016, 17:52:25",Activity,658661126
"30 Jul 2016, 17:52:31",Activity,658626573
"31 Jul 2016, 14:11:31",Activity,659437403
"31 Jul 2016, 20:05:18",Activity,659520719
"2 Aug 2016, 09:23:23",Activity,661179799
"2 Aug 2016, 14:25:06",Activity,661972515
"2 Aug 2016, 19:23:17",Activity,662065035
"4 Aug 2016, 17:17:42",Activity,664403727
"4 Aug 2016, 18:06:38",Activity,664454246
"4 Aug 2016, 21:55:02",Activity,664639182
"6 Aug 2016, 09:04:31",Activity,666112114
"6 Aug 2016, 12:24:04",Activity,665484764
"7 Aug 2016, 21:21:30",Activity,668203542
"7 Aug 2016, 21:21:36",Activity,667950745
"9 Aug 2016, 11:23:41",Activity,669231261
"9 Aug 2016, 20:16:09",Activity,670424461
"12 Aug 2016, 20:39:39",Activity,673734798
"14 Aug 2016, 17:45:06",Activity,675441552
"14 Aug 2016, 17:45:09",Activity,675904503
"14 Aug 2016, 18:14:25",Activity,676074165
"15 Aug 2016, 11:27:22",Activity,676465918
"15 Aug 2016, 11:27:27",Activity,676466587
"18 Aug 2016, 17:33:22",Activity,680047502
"19 Aug 2016, 21:29:50",Activity,681540661
"20 Aug 2016, 16:48:25",Activity,682825357
"20 Aug 2016, 19:20:40",Activity,682843880
"24 Aug 2016, 15:04:13",Activity,687049824
"24 Aug 2016, 15:04:20",Activity,687056684
"25 Aug 2016, 09:01:16",Activity,688271199
"25 Aug 2016, 18:25:19",Activity,688774167
"28 Aug 2016, 09:00:40",Activity,690760136
"28 Aug 2016, 09:00:44",Activity,690608861
"29 Aug 2016, 21:00:28",Activity,693640431
"31 Aug 2016, 16:23:41",Activity,695675602
